SuicideRate_Type,BothSexes,Male,Female,BothSexes,Male,Female,BothSexes,Male,Female,Male_Avg,Female_Avg,Both_Avg
Djibouti,5.63,7.67,3.25,5.62,7.68,3.22,9.6,12.6,6.4,9.316666666666666,4.29,6.95
Dominica,4.23,7.46,0.89,4.18,7.38,0.88,,,,7.42,0.885,4.205
Dominican Republic,5.39,8.73,2.02,5.41,8.69,2.09,4.9,8.0,1.8,8.473333333333334,1.9699999999999998,5.233333333333333
Ecuador,8.51,13.53,3.54,8.4,13.34,3.51,7.6,11.6,3.6,12.823333333333332,3.5500000000000003,8.17
Egypt,1.01,1.48,0.5,1.02,1.5,0.51,3.0,4.0,2.0,2.3266666666666667,1.0033333333333332,1.6766666666666667
El Salvador,8.32,13.31,3.92,8.11,12.95,3.84,6.1,10.5,2.1,12.253333333333332,3.2866666666666666,7.510000000000001
Equatorial Guinea,6.89,10.29,2.85,6.86,10.26,2.85,7.9,9.4,6.0,9.983333333333333,3.9,7.216666666666666
Eritrea,9.66,14.19,4.99,9.58,14.09,4.93,10.9,16.6,5.2,14.96,5.04,10.046666666666667
Estonia,15.19,25.66,5.83,15.08,25.62,5.69,14.9,24.3,6.5,25.19333333333333,6.006666666666667,15.056666666666667
Eswatini,18.42,31.17,6.16,18.87,32.09,6.19,29.4,55.1,4.7,39.45333333333334,5.683333333333334,22.23
Ethiopia,6.17,9.4,2.88,6.12,9.34,2.84,5.4,7.7,3.1,8.813333333333334,2.94,5.896666666666666
Fiji,8.89,12.25,5.45,9.01,12.42,5.51,9.0,12.2,5.7,12.290000000000001,5.553333333333334,8.966666666666667
Finland,15.67,23.96,7.58,16.38,25.02,7.96,15.3,23.2,7.6,24.060000000000002,7.713333333333334,15.783333333333331
France,13.72,22.01,5.92,14.27,22.87,6.17,13.8,20.4,7.6,21.76,6.563333333333333,13.930000000000001
Gabon,9.67,16.72,3.12,9.82,16.96,3.17,8.4,14.2,2.4,15.959999999999999,2.8966666666666665,9.296666666666667
Gambia,5.58,8.11,3.12,5.58,8.1,3.13,4.8,6.6,3.0,7.603333333333334,3.0833333333333335,5.32
Georgia,8.64,14.57,3.18,8.8,14.83,3.26,9.2,16.0,3.0,15.133333333333333,3.1466666666666665,8.88
Germany,12.31,18.9,5.77,12.58,19.33,5.9,12.3,18.6,6.2,18.94333333333333,5.956666666666667,12.396666666666667
Ghana,5.68,9.21,2.34,5.78,9.33,2.41,6.6,11.8,1.2,10.113333333333333,1.9833333333333334,6.0200000000000005
Greece,5.22,8.65,1.98,5.23,8.69,1.97,5.1,8.4,1.9,8.58,1.95,5.183333333333333
Greenland,59.62,86.96,29.4,64.6,94.39,31.59,,,,90.675,30.494999999999997,62.11
Grenada,4.63,7.32,1.8,4.65,7.35,1.83,0.7,0.6,0.7,5.09,1.4433333333333334,3.3266666666666667
Guam,17.08,29.13,4.71,18.33,31.29,4.97,,,,30.21,4.84,17.705
Guatemala,5.43,8.45,2.59,5.42,8.41,2.6,5.9,9.4,2.6,8.753333333333332,2.5966666666666662,5.583333333333333
Guinea,5.02,6.89,3.26,5.09,6.99,3.3,7.0,9.2,4.9,7.6933333333333325,3.8200000000000003,5.703333333333333
Guinea-Bissau,8.49,12.74,4.44,8.58,12.87,4.49,7.0,10.2,3.9,11.936666666666667,4.276666666666666,8.023333333333333
Guyana,31.26,52.79,10.31,31.71,53.32,10.59,40.3,63.0,17.4,56.370000000000005,12.766666666666666,34.42333333333333
Haiti,7.18,10.28,4.2,7.16,10.22,4.23,9.6,11.8,7.6,10.766666666666666,5.343333333333334,7.9799999999999995
Honduras,3.9,6.47,1.48,3.9,6.45,1.48,2.1,3.3,0.8,5.406666666666666,1.2533333333333332,3.3000000000000003
Hungary,16.91,26.39,8.27,17.01,26.57,8.31,16.6,25.9,8.3,26.286666666666665,8.293333333333333,16.84
Iceland,12.49,19.64,5.13,12.12,19.06,5.0,11.9,19.8,3.9,19.5,4.676666666666667,12.17
India,13.33,15.7,10.85,13.28,15.7,10.73,12.7,14.1,11.1,15.166666666666666,10.893333333333333,13.103333333333333
Indonesia,1.64,2.21,1.05,1.66,2.23,1.07,2.4,3.7,1.1,2.7133333333333334,1.0733333333333335,1.8999999999999997
Iran,4.34,6.46,2.16,4.38,6.52,2.17,5.2,7.7,2.8,6.8933333333333335,2.3766666666666665,4.64
Iraq,4.41,6.55,2.12,4.44,6.56,2.16,3.6,5.2,2.0,6.103333333333333,2.0933333333333333,4.15
Ireland,8.41,13.7,3.24,8.75,14.24,3.38,9.6,15.4,3.9,14.446666666666665,3.5066666666666664,8.92
Israel,5.15,8.36,1.97,5.36,8.7,2.04,5.3,8.4,2.3,8.486666666666666,2.103333333333333,5.2700000000000005
Italy,6.44,10.37,2.72,6.22,10.01,2.63,6.7,10.1,3.5,10.159999999999998,2.9499999999999997,6.453333333333333
Ivory Coast,7.05,11.52,2.28,7.13,11.65,2.29,8.9,14.9,2.8,12.69,2.4566666666666666,7.6933333333333325
Jamaica,1.43,2.44,0.44,1.37,2.32,0.43,2.4,3.7,1.1,2.8200000000000003,0.6566666666666667,1.7333333333333332
Japan,17.47,25.2,10.12,17.53,25.4,10.05,15.3,21.8,9.2,24.13333333333333,9.790000000000001,16.766666666666666
Jordan,1.07,1.6,0.46,1.06,1.59,0.46,1.6,2.5,0.7,1.8966666666666667,0.54,1.2433333333333334
Kazakhstan,18.2,30.96,6.19,18.03,30.58,6.22,17.6,29.0,6.8,30.179999999999996,6.403333333333333,17.943333333333335
Kenya,6.82,10.53,3.16,6.84,10.54,3.18,6.1,9.1,3.2,10.056666666666667,3.1799999999999997,6.586666666666666
Kiribati,17.29,30.08,5.02,17.4,30.26,5.05,28.3,48.6,8.7,36.31333333333333,6.256666666666667,20.996666666666666
Kuwait,1.97,3.05,0.75,2.1,3.32,0.72,2.9,4.3,0.7,3.556666666666666,0.7233333333333333,2.3233333333333337
Kyrgyzstan,9.25,14.71,3.92,9.17,14.53,3.95,7.4,11.7,3.2,13.646666666666667,3.69,8.606666666666667
Laos,5.23,7.58,2.85,5.28,7.64,2.9,5.4,7.6,3.2,7.6066666666666665,2.983333333333333,5.303333333333334
Latvia,19.42,34.67,6.39,18.74,33.36,6.28,20.1,35.5,7.0,34.51,6.5566666666666675,19.419999999999998
Lebanon,0.94,1.18,0.69,0.93,1.18,0.69,2.8,3.8,1.7,2.0533333333333332,1.0266666666666666,1.5566666666666666
Lesotho,20.57,32.55,9.27,20.77,32.8,9.44,72.4,116.0,30.1,60.449999999999996,16.27,37.913333333333334
Liberia,6.66,9.37,3.86,6.54,9.2,3.81,4.5,5.6,3.3,8.056666666666667,3.6566666666666663,5.8999999999999995
Libya,5.52,7.62,3.29,5.57,7.66,3.35,4.5,6.0,2.9,7.093333333333334,3.18,5.196666666666666
Lithuania,27.91,49.96,9.07,28.07,50.46,8.93,26.1,45.4,9.6,48.60666666666666,9.200000000000001,27.360000000000003
Luxembourg,9.02,13.24,4.74,8.93,13.19,4.61,11.3,15.3,7.1,13.910000000000002,5.483333333333334,9.75
Madagascar,6.31,9.05,3.64,6.25,8.97,3.6,5.5,7.6,3.4,8.540000000000001,3.546666666666667,6.02
Malawi,8.31,13.84,3.05,837.0,13.96,3.06,5.4,9.2,1.7,12.333333333333334,2.603333333333333,283.57
Malaysia,5.17,8.0,2.13,4.55,6.98,1.95,5.7,8.9,2.3,7.960000000000001,2.1266666666666665,5.14
