Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature
Africa,Kenya,2019,Male,18.05,12.58,25.68,64.67561643835616
Europe,Kazakhstan,2019,Both sexes,18.05,13.89,23.16,50.62
Africa,Congo,2019,Male,18.28,11.03,28.51,76.16328767123288
Africa,Guinea,2019,Male,18.36,9.72,30.52,62.41530054644809
Africa,Senegal,2019,Male,18.53,11.12,28.75,73.56301369863014
South-East Asia,Nepal,2019,Male,18.56,10.12,28.73,62.714520547945206
Europe,Iceland,2019,Male,18.67,14.75,23.14,40.08054794520548
Americas,Uruguay,2019,Both sexes,18.83,15.07,23.13,59.540547945205475
Europe,Hungary,2019,Male,19.15,14.57,24.73,51.51945205479451
Africa,Uganda,2019,Male,19.39,12.05,30.65,66.44246575342466
Europe,Belgium,2019,Male,19.55,16.31,23.12,50.01342465753425
Africa,Guinea-Bissau,2019,Male,19.78,11.22,31.63,77.52958904109589
Eastern Mediterranean,Jordan,2019,Both sexes,1.98,1.29,2.9,62.50547945205479
Europe,Italy,2019,Female,2.08,1.85,6.75,56.89835616438357
Eastern Mediterranean,Egypt,2019,Female,2.22,1.1,3.85,70.99287671232877
Europe,Albania,2019,Female,2.22,1.44,3.25,59.467123287671235
Americas,Mexico,2019,Female,2.18,1.73,2.7,65.32584474885844
Eastern Mediterranean,Bahrain,2019,Female,2.27,1.52,3.27,79.97232876712329
Western Pacific,Malaysia,2019,Female,2.39,1.46,3.66,79.98109589041096
Europe,Romania,2019,Female,2.37,1.69,3.2,53.04383561643836
Europe,Poland,2019,Female,2.43,1.85,3.16,49.365753424657534
Americas,Guatemala,2019,Female,2.53,1.72,3.55,64.95780821917808
Western Pacific,Philippines,2019,Both sexes,2.54,1.81,9.34,80.48164383561644
Americas,Honduras,2019,Both sexes,2.58,1.34,4.98,68.82767123287671
Africa,Algeria,2019,Both sexes,2.6,1.41,4.44,62.29698630136987
Eastern Mediterranean,United Arab Emirates,2019,Female,2.63,1.49,4.3,81.73095890410958
Europe,Slovakia,2019,Female,2.58,1.7,3.75,51.73479452054795
South-East Asia,Indonesia,2019,Both sexes,2.55,1.81,3.45,81.00931506849315
Eastern Mediterranean,Kuwait,2019,Both sexes,2.66,1.85,3.73,77.1413698630137
Eastern Mediterranean,Lebanon,2019,Both sexes,2.76,1.43,5.04,67.85972602739726
Europe,Spain,2019,Female,2.83,2.21,3.53,58.2565296803653
Americas,Brazil,2019,Female,2.76,2.47,6.68,70.8766210045662
South-East Asia,Nepal,2019,Female,2.94,1.66,4.76,62.714520547945206
Europe,Bulgaria,2019,Female,2.86,1.93,4.09,50.733698630136985
Americas,Panama,2019,Both sexes,2.86,1.92,4.08,77.65315068493152
Europe,Turkmenistan,2019,Female,2.91,2.0,4.1,62.49479452054794
Europe,Finland,2019,Male,20.09,16.44,23.98,41.52849315068493
Africa,Benin,2019,Male,20.29,12.28,32.25,79.42986301369864
South-East Asia,Sri Lanka,2019,Male,20.94,13.39,35.07,78.87123287671233
Africa,Central African Republic,2019,Both sexes,22.96,12.75,37.6,62.85260273972603
Africa,Mozambique,2019,Both sexes,23.19,13.59,36.38,72.40630136986302
Africa,Gabon,2019,Male,23.31,13.41,37.68,77.58684931506849
Africa,South Africa,2019,Both sexes,23.49,16.22,32.13,60.399726027397264
Africa,Togo,2019,Male,23.99,14.37,37.02,77.80739726027397
Africa,Namibia,2019,Male,24.88,14.43,41.16,65.51780821917808
Americas,Suriname,2019,Both sexes,25.89,17.38,36.82,76.90438356164383
Europe,Latvia,2019,Male,29.01,20.51,39.53,44.94547945205479
Eastern Mediterranean,Jordan,2019,Male,3.03,1.96,4.42,62.50547945205479
Eastern Mediterranean,Tunisia,2019,Both sexes,3.18,1.71,5.42,64.67041095890411
Africa,Algeria,2019,Male,3.3,1.82,5.73,62.29698630136987
Americas,Argentina,2019,Female,3.31,2.58,4.15,60.407123287671226
Eastern Mediterranean,Egypt,2019,Both sexes,3.41,1.57,6.54,70.99287671232877
Europe,Tajikistan,2019,Female,3.38,2.09,5.18,59.16986301369863
Americas,Bahamas,2019,Both sexes,3.37,2.31,4.79,76.20986301369862
Europe,Portugal,2019,Female,3.46,2.64,4.43,59.2945205479452
Europe,Iceland,2019,Female,3.48,2.55,4.62,40.08054794520548
Europe,Kyrgyzstan,2019,Female,3.54,2.63,4.68,52.75506849315068
Europe,Ireland,2019,Female,3.57,2.69,4.56,47.38602739726028
Europe,Albania,2019,Both sexes,3.72,2.05,5.72,59.467123287671235
Africa,Uganda,2019,Female,3.7,2.21,5.88,66.44246575342466
Americas,Colombia,2019,Both sexes,3.74,2.54,8.68,55.08767123287672
Africa,Nigeria,2019,Female,3.79,1.78,6.07,80.33123287671233
Africa,Gabon,2019,Female,3.81,2.14,6.15,77.58684931506849
Eastern Mediterranean,Kuwait,2019,Male,3.83,2.67,5.35,77.1413698630137
Eastern Mediterranean,Lebanon,2019,Male,3.87,1.99,7.31,67.85972602739726
Western Pacific,Philippines,2019,Male,3.88,2.69,9.36,80.48164383561644
Europe,Germany,2019,Female,3.91,3.11,4.83,48.25071225071225
Europe,Belarus,2019,Male,30.12,20.95,43.25,11.465479452054794
Europe,Kazakhstan,2019,Male,30.88,23.84,39.59,50.62
Western Pacific,Mongolia,2019,Male,31.11,19.08,48.67,29.263835616438353
Americas,Uruguay,2019,Male,31.12,25.14,37.99,59.540547945205475
Europe,Ukraine,2019,Male,32.7,24.12,43.08,48.81150684931507
Africa,South Africa,2019,Male,37.88,27.27,50.93,60.399726027397264
Africa,Central African Republic,2019,Male,39.64,22.21,64.18,62.85260273972603
South-East Asia,Indonesia,2019,Male,3.99,2.76,5.45,81.00931506849315
Americas,Cuba,2019,Female,4.08,2.91,5.59,73.86191780821918
Europe,Denmark,2019,Female,4.24,3.23,5.48,46.86493150684932
Europe,Italy,2019,Both sexes,4.33,3.96,6.87,56.89835616438357
Africa,Namibia,2019,Female,4.35,2.23,7.55,65.51780821917808
Americas,Honduras,2019,Male,4.39,2.25,8.65,68.82767123287671
Eastern Mediterranean,Oman,2019,Both sexes,4.47,2.68,7.64,63.0241610738255
Europe,France,2019,Female,4.54,3.55,8.93,54.09767123287671
Eastern Mediterranean,Tunisia,2019,Male,4.6,2.56,7.82,64.67041095890411
Europe,Latvia,2019,Female,4.56,2.95,6.77,44.94547945205479
Europe,Austria,2019,Female,4.64,3.72,5.73,51.81753424657535
Eastern Mediterranean,Egypt,2019,Male,4.65,2.06,9.29,70.99287671232877
Eastern Mediterranean,Morocco,2019,Female,4.7,2.35,9.15,59.73150684931507
