Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP
Europe,Poland,2019,Male,16.46,13.06,20.72,49.365753424657534,15484.611924427803
Europe,Austria,2019,Male,16.56,13.77,19.75,51.81753424657535,50067.47296099458
Americas,Cuba,2019,Male,16.67,12.28,30.67,73.86191780821918,9139.415856057649
Europe,Sweden,2019,Male,16.95,14.45,19.64,44.18,51994.89528538041
Western Pacific,Australia,2019,Male,16.97,14.11,26.08,61.28761643835616,54407.64462080841
Western Pacific,Japan,2019,Male,17.53,16.71,18.35,55.25077625570776,40686.26776488963
Western Pacific,Mongolia,2019,Both sexes,18.02,11.01,28.04,29.263835616438353,4394.947150112733
Africa,Kenya,2019,Male,18.05,12.58,25.68,64.67561643835616,1970.0800629653995
Africa,Congo,2019,Male,18.28,11.03,28.51,76.16328767123288,2508.9404444502206
Africa,Guinea,2019,Male,18.36,9.72,30.52,62.41530054644809,1043.9035115883423
Africa,Senegal,2019,Male,18.53,11.12,28.75,73.56301369863014,1462.6783520711049
South-East Asia,Nepal,2019,Male,18.56,10.12,28.73,62.714520547945206,1188.5288874857758
Europe,Iceland,2019,Male,18.67,14.75,23.14,40.08054794520548,68412.2016810945
Americas,Uruguay,2019,Both sexes,18.83,15.07,23.13,59.540547945205475,18098.361548791
Europe,Hungary,2019,Male,19.15,14.57,24.73,51.51945205479451,16785.088465995297
Africa,Uganda,2019,Male,19.39,12.05,30.65,66.44246575342466,879.5241424518402
Europe,Belgium,2019,Male,19.55,16.31,23.12,50.01342465753425,46554.24513801604
Africa,Guinea-Bissau,2019,Male,19.78,11.22,31.63,77.52958904109589,692.9000542046755
Eastern Mediterranean,Jordan,2019,Both sexes,1.98,1.29,2.9,62.50547945205479,4159.671441750038
Europe,Italy,2019,Female,2.08,1.85,6.75,56.89835616438357,33674.39875245384
Eastern Mediterranean,Egypt,2019,Female,2.22,1.1,3.85,70.99287671232877,3004.652156084475
Europe,Albania,2019,Female,2.22,1.44,3.25,59.467123287671235,5359.239078357407
Americas,Mexico,2019,Female,2.18,1.73,2.7,65.32584474885844,10434.56743883823
Eastern Mediterranean,Bahrain,2019,Female,2.27,1.52,3.27,79.97232876712329,25869.206182092556
Western Pacific,Malaysia,2019,Female,2.39,1.46,3.66,79.98109589041096,11132.10526349743
Europe,Romania,2019,Female,2.37,1.69,3.2,53.04383561643836,12856.689173670482
Europe,Poland,2019,Female,2.43,1.85,3.16,49.365753424657534,15484.611924427803
Americas,Guatemala,2019,Female,2.53,1.72,3.55,64.95780821917808,4511.328719962381
Western Pacific,Philippines,2019,Both sexes,2.54,1.81,9.34,80.48164383561644,3413.8490672027515
Americas,Honduras,2019,Both sexes,2.58,1.34,4.98,68.82767123287671,2519.367422545348
Africa,Algeria,2019,Both sexes,2.6,1.41,4.44,62.29698630136987,4021.9836024106503
Eastern Mediterranean,United Arab Emirates,2019,Female,2.63,1.49,4.3,81.73095890410958,45376.17083815792
South-East Asia,Indonesia,2019,Both sexes,2.55,1.81,3.45,81.00931506849315,4151.227554541349
Eastern Mediterranean,Kuwait,2019,Both sexes,2.66,1.85,3.73,77.1413698630137,30666.220367346436
Eastern Mediterranean,Lebanon,2019,Both sexes,2.76,1.43,5.04,67.85972602739726,8987.165235262877
Europe,Spain,2019,Female,2.83,2.21,3.53,58.2565296803653,29583.693322770436
Americas,Brazil,2019,Female,2.76,2.47,6.68,70.8766210045662,8883.903092241835
South-East Asia,Nepal,2019,Female,2.94,1.66,4.76,62.714520547945206,1188.5288874857758
Europe,Bulgaria,2019,Female,2.86,1.93,4.09,50.733698630136985,9767.173367811269
Americas,Panama,2019,Both sexes,2.86,1.92,4.08,77.65315068493152,16472.831754845563
Europe,Finland,2019,Male,20.09,16.44,23.98,41.52849315068493,48630.46593232076
Africa,Benin,2019,Male,20.29,12.28,32.25,79.42986301369864,1170.9658792195055
South-East Asia,Sri Lanka,2019,Male,20.94,13.39,35.07,78.87123287671233,4111.610249585678
Africa,Central African Republic,2019,Both sexes,22.96,12.75,37.6,62.85260273972603,426.2785602438487
