,Country,Year,AvgTemperature
0,Albania,1995,-99.0
1,Albania,1996,-99.0
2,Albania,1997,-88.22876712328767
3,Albania,1998,-46.1958904109589
4,Albania,1999,26.696164383561644
5,Albania,2000,54.75792349726776
6,Albania,2001,10.75041095890411
7,Albania,2002,41.51287671232877
8,Albania,2003,61.87232876712329
9,Albania,2004,61.08524590163935
10,Albania,2005,59.93561643835616
11,Albania,2006,58.56904109589041
12,Albania,2007,60.89013698630137
13,Albania,2008,59.790710382513666
14,Albania,2009,59.401095890410964
15,Albania,2010,60.568767123287664
16,Albania,2011,59.9186301369863
17,Albania,2012,59.8844262295082
18,Albania,2013,60.4131506849315
19,Albania,2014,60.215616438356165
20,Albania,2015,60.09016393442623
21,Albania,2016,58.98688524590164
22,Albania,2017,60.38465753424658
23,Albania,2018,59.88931506849315
24,Albania,2019,59.467123287671235
25,Albania,2020,51.15970149253731
26,Algeria,1995,63.515068493150686
27,Algeria,1996,62.64207650273224
28,Algeria,1997,64.92630136986301
29,Algeria,1998,61.837534246575345
30,Algeria,1999,64.4745205479452
31,Algeria,2000,64.1827868852459
32,Algeria,2001,64.66986301369863
33,Algeria,2002,62.34767123287671
34,Algeria,2003,65.04273972602739
35,Algeria,2004,64.08743169398907
36,Algeria,2005,62.91342465753425
37,Algeria,2006,64.9304109589041
38,Algeria,2007,63.1668493150685
39,Algeria,2008,63.53224043715847
40,Algeria,2009,64.25972602739726
41,Algeria,2010,64.26821917808219
42,Algeria,2011,64.96082191780822
43,Algeria,2012,64.29043715846994
44,Algeria,2013,63.70465753424658
45,Algeria,2014,65.19589041095891
46,Algeria,2015,64.04781420765028
47,Algeria,2016,63.51612021857924
48,Algeria,2017,64.9958904109589
49,Algeria,2018,62.18082191780822
50,Algeria,2019,62.29698630136987
51,Algeria,2020,58.03432835820896
52,Argentina,1995,61.701369863013696
53,Argentina,1996,62.71010928961749
54,Argentina,1997,63.14383561643836
55,Argentina,1998,59.558904109589044
56,Argentina,1999,61.39506849315069
57,Argentina,2000,61.955191256830595
58,Argentina,2001,62.89506849315069
59,Argentina,2002,60.78739726027398
60,Argentina,2003,61.04246575342466
61,Argentina,2004,62.625956284153
62,Argentina,2005,62.31150684931507
63,Argentina,2006,62.68794520547945
64,Argentina,2007,60.88219178082192
65,Argentina,2008,62.46857923497268
66,Argentina,2009,62.570958904109595
67,Argentina,2010,63.00630136986301
68,Argentina,2011,63.235342465753426
69,Argentina,2012,63.72513661202186
70,Argentina,2013,62.880547945205485
71,Argentina,2014,63.61369863013699
72,Argentina,2015,62.935792349726775
73,Argentina,2016,60.87267759562842
74,Argentina,2017,64.13780821917808
75,Argentina,2018,61.24904109589041
76,Argentina,2019,60.407123287671226
77,Argentina,2020,69.98432835820896
78,Australia,1995,61.50175342465753
79,Australia,1996,61.08065573770492
80,Australia,1997,62.15178082191781
81,Australia,1998,47.184876712328766
82,Australia,1999,62.029972602739726
83,Australia,2000,62.25021857923497
84,Australia,2001,61.78734246575342
85,Australia,2002,60.47539726027398
86,Australia,2003,61.32153424657535
87,Australia,2004,62.51846994535519
88,Australia,2005,62.712931506849316
89,Australia,2006,62.674904109589036
90,Australia,2007,62.81994520547945
91,Australia,2008,60.99207650273224
92,Australia,2009,62.9586301369863
93,Australia,2010,62.71435616438356
94,Australia,2011,62.53884931506849
95,Australia,2012,62.255683060109284
96,Australia,2013,63.11572602739726
97,Australia,2014,63.038794520547945
98,Australia,2015,62.17803278688525
99,Australia,2016,61.810765027322404
100,Australia,2017,63.3666301369863
101,Australia,2018,61.485863013698626
102,Australia,2019,61.28761643835616
103,Australia,2020,68.71641791044776
104,Austria,1995,50.25123287671233
105,Austria,1996,47.67677595628415
106,Austria,1997,49.6827397260274
107,Austria,1998,49.69041095890411
108,Austria,1999,50.54438356164384
109,Austria,2000,52.759562841530055
110,Austria,2001,50.82301369863014
111,Austria,2002,50.215616438356165
112,Austria,2003,51.49506849315069
113,Austria,2004,50.60300546448087
114,Austria,2005,50.302191780821914
115,Austria,2006,51.235342465753426
116,Austria,2007,52.592602739726026
117,Austria,2008,52.17704918032787
118,Austria,2009,51.360821917808224
119,Austria,2010,49.25068493150685
120,Austria,2011,51.27945205479452
121,Austria,2012,51.911475409836065
122,Austria,2013,51.42630136986301
123,Austria,2014,52.93561643835616
124,Austria,2015,52.63961748633879
125,Austria,2016,50.86967213114754
126,Austria,2017,52.351506849315065
127,Austria,2018,52.533150684931506
128,Austria,2019,51.81753424657535
129,Austria,2020,44.92462686567164
130,Bahamas,1995,76.62849315068493
131,Bahamas,1996,76.02786885245902
132,Bahamas,1997,76.27123287671233
133,Bahamas,1998,72.26
134,Bahamas,1999,75.24164383561644
135,Bahamas,2000,76.4153005464481
136,Bahamas,2001,76.98438356164384
137,Bahamas,2002,76.5254794520548
138,Bahamas,2003,79.17753424657533
139,Bahamas,2004,68.09398907103825
140,Bahamas,2005,75.13643835616438
141,Bahamas,2006,76.33835616438355
142,Bahamas,2007,71.53287671232877
143,Bahamas,2008,78.06748633879782
144,Bahamas,2009,78.88356164383562
145,Bahamas,2010,78.25205479452055
146,Bahamas,2011,79.85095890410959
147,Bahamas,2012,78.61584699453552
148,Bahamas,2013,78.1745205479452
149,Bahamas,2014,78.12246575342466
150,Bahamas,2015,78.42923497267759
151,Bahamas,2016,76.41748633879781
152,Bahamas,2017,80.40767123287671
153,Bahamas,2018,76.63041095890411
154,Bahamas,2019,76.20986301369862
155,Bahamas,2020,75.58947368421052
156,Bahrain,1995,79.2827397260274
157,Bahrain,1996,80.18005464480875
158,Bahrain,1997,78.7972602739726
159,Bahrain,1998,80.21506849315068
160,Bahrain,1999,81.79917808219179
161,Bahrain,2000,80.60601092896175
162,Bahrain,2001,81.32301369863013
163,Bahrain,2002,78.89479452054795
164,Bahrain,2003,80.9764383561644
165,Bahrain,2004,80.77841530054646
166,Bahrain,2005,80.20931506849315
167,Bahrain,2006,81.0054794520548
168,Bahrain,2007,80.48849315068493
169,Bahrain,2008,79.51229508196721
170,Bahrain,2009,80.91013698630137
171,Bahrain,2010,82.9268493150685
172,Bahrain,2011,80.92
173,Bahrain,2012,81.68415300546448
174,Bahrain,2013,81.20438356164384
175,Bahrain,2014,81.57780821917808
176,Bahrain,2015,81.62295081967213
177,Bahrain,2016,80.1483606557377
178,Bahrain,2017,82.6358904109589
179,Bahrain,2018,81.30082191780822
180,Bahrain,2019,79.97232876712329
181,Bahrain,2020,72.23880597014926
182,Bangladesh,1995,42.214246575342464
183,Bangladesh,1996,38.93852459016394
