"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 1996"
"Category","Total"
"Lithuania",52
"Estonia",41.9
"Latvia",38.9
"Hungary",35.5
"Slovenia",32.2
"Finland",24.3
"Austria",23.1
"Switzerland",20.7
"Belgium",20
"France",19.9
"Luxembourg",18.1
"Japan",17.8
"Denmark",17.4
"Czechia",16.3
"Korea",15.2
"Poland",15.2
"Germany",14.9
"New Zealand",14.7
"Sweden",14.3
"Slovak Rep.",13.9
"Australia",13.6
"Iceland",13.5
"Canada",13.4
"United States",12.3
"Norway",12
"Ireland",11.6
"Netherlands",10.4
"Spain",8.7
"Italy",8.1
"Chile",7.5
"Costa Rica",7.3
"United Kingdom",7.2
"Portugal",7
"Israel",7
"Mexico",4.2
"Colombia",4.1
"Greece",3.4
