"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2000"
"Category","Total"
"Lithuania",49.3
"Hungary",34.1
"Latvia",33.8
"Slovenia",30.4
"Estonia",27.5
"Japan",23
"Finland",22.4
"Belgium",20.9
"Austria",20.1
"Switzerland",19.2
"France",18.8
"Iceland",18.1
"Korea",17.5
"Czechia",16.5
"Poland",15.8
"Luxembourg",15
"Slovak Rep.",14.6
"Denmark",13.9
"Germany",13.2
"Sweden",12.7
"Australia",12.7
"Norway",12.4
"New Zealand",12.3
"Ireland",12.3
"Canada",11.6
"Chile",11.3
"United States",11
"Netherlands",9.6
"Spain",8.3
"Costa Rica",7.8
"Israel",7.5
"Italy",6.9
"Colombia",6.7
"Portugal",5.2
"Mexico",4.3
"Greece",3.5
