"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2015"
"Category","Total"
"Lithuania",29.6
"Korea",26.8
"Slovenia",18.9
"Latvia",18.6
"Hungary",18
"Japan",17
"Belgium",16.2
"Estonia",14.5
"United States",14.1
"Poland",13.7
"Austria",13.4
"Finland",13.2
"France",13.2
"Australia",13.2
"Czechia",12.6
"Iceland",12.4
"Switzerland",12.3
"Canada",12.1
"Sweden",12
"New Zealand",11.8
"Luxembourg",11.5
"Norway",11.4
"Germany",10.9
"Chile",10.8
"Netherlands",10.7
"Denmark",9.7
"Portugal",9.7
"Ireland",9.4
"United Kingdom",7.6
"Spain",7.2
"Costa Rica",6.9
"Italy",5.9
"Mexico",5.5
"Colombia",5.4
"Israel",5
"Greece",4.6
"Türkiye",2.2
