"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2006"
"Category","Total"
"Lithuania",32
"Korea",27.8
"Slovenia",25.6
"Hungary",24.3
"Japan",22.2
"Latvia",21.6
"Finland",19.9
"Belgium",18.1
"Estonia",17.8
"Switzerland",17.1
"France",17
"Austria",15.2
"Poland",15.1
"Luxembourg",13.8
"Czechia",13.4
"Sweden",13
"New Zealand",12.7
"Chile",12
"Denmark",12
"Norway",11.7
"United States",11.5
"Germany",11.1
"Iceland",10.9
"Ireland",10.7
"Australia",10.6
"Canada",10.6
"Netherlands",9.3
"Costa Rica",9
"Spain",7.1
"United Kingdom",6.8
"Israel",6.1
"Italy",5.8
"Colombia",5.7
"Mexico",4.6
"Greece",3.4
