"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2007"
"Category","Total"
"Lithuania",31.6
"Korea",30.3
"Hungary",24.2
"Japan",22.7
"Slovenia",20.7
"Latvia",20.4
"Estonia",18.8
"Finland",18.5
"Switzerland",17.5
"Belgium",17.1
"Luxembourg",16.6
"France",16.3
"Austria",15.1
"Poland",13.7
"Czechia",13.1
"Sweden",12.2
"Iceland",12
"New Zealand",11.9
"United States",11.9
"Chile",11.9
"Canada",10.7
"Australia",10.7
"Germany",10.6
"Norway",10.6
"Denmark",10.6
"Ireland",10.5
"Portugal",9.3
"Netherlands",8.2
"Spain",7
"Costa Rica",6.6
"United Kingdom",6.4
"Italy",5.8
"Colombia",5.6
"Israel",5.5
"Mexico",4.6
"Greece",2.8
