"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2003"
"Category","Total"
"Lithuania",43.8
"Korea",29.7
"Hungary",28.1
"Slovenia",28
"Latvia",26.7
"Estonia",25
"Japan",24
"Finland",20.4
"Belgium",20.1
"France",18.3
"Austria",18
"Switzerland",17.2
"Czechia",17.1
"Poland",15.4
"Slovak Rep.",14.6
"New Zealand",13.3
"Germany",13
"Sweden",12.3
"Denmark",11.9
"Canada",11.8
"Chile",11.8
"Ireland",11.5
"United States",11.3
"Norway",11.3
"Portugal",11.1
"Luxembourg",11
"Australia",11
"Iceland",9.9
"Costa Rica",9.4
"Netherlands",9.4
"Spain",8.1
"Israel",7.8
"United Kingdom",6.7
"Italy",6.6
"Colombia",6.2
"Mexico",4.7
"Greece",3.3
