"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2002"
"Category","Total"
"Lithuania",46.8
"Latvia",29.7
"Hungary",28.6
"Estonia",27.3
"Slovenia",27
"Korea",23.9
"Japan",22.4
"Finland",21
"Luxembourg",20.1
"Belgium",20
"Switzerland",19.7
"Austria",19.2
"France",18.1
"Poland",15.8
"Czechia",15.3
"Slovak Rep.",14.3
"Sweden",13.2
"Germany",13.1
"Denmark",13
"New Zealand",12.3
"Australia",12
"Portugal",11.7
"Canada",11.6
"Chile",11.6
"United States",11.5
"Ireland",11.4
"Norway",11.2
"Iceland",10.4
"Netherlands",9.8
"Costa Rica",8.5
"Spain",8
"Israel",7
"United Kingdom",7
"Italy",6.7
"Colombia",6.3
"Mexico",4.5
"Greece",2.9
