"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2004"
"Category","Total"
"Lithuania",41.9
"Korea",31.2
"Hungary",27.3
"Latvia",24.8
"Slovenia",24.8
"Estonia",24
"Japan",22.5
"Finland",20.3
"Belgium",18.8
"France",18
"Austria",17.3
"Switzerland",17.2
"Poland",15.9
"Czechia",15.4
"Luxembourg",13.8
"Slovak Rep.",12.8
"Sweden",12.8
"Iceland",12.6
"New Zealand",12.4
"Germany",12.4
"Denmark",12.3
"Norway",11.9
"Chile",11.9
"Ireland",11.6
"United States",11.5
"Canada",11.2
"Australia",10.7
"Costa Rica",9.4
"Netherlands",9.3
"Spain",8
"Israel",7.3
"United Kingdom",7
"Italy",6.4
"Colombia",6.2
"Mexico",4.7
"Greece",3.1
