"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 1997"
"Category","Total"
"Lithuania",48.8
"Estonia",39.4
"Latvia",37.6
"Hungary",33.4
"Slovenia",30.8
"Finland",25.8
"Belgium",21.4
"Austria",20.4
"Luxembourg",20
"France",19.5
"Switzerland",19.2
"Japan",18.7
"Czechia",17
"Korea",16.3
"Denmark",15.9
"New Zealand",15.1
"Germany",14.8
"Australia",14.6
"Iceland",14
"Sweden",13.7
"Slovak Rep.",13.2
"Ireland",13.1
"Norway",12.6
"Canada",12.4
"United States",12.1
"Netherlands",10.3
"Spain",8.8
"Israel",8.3
"Italy",8
"Chile",7.4
"United Kingdom",7.1
"Costa Rica",6.7
"Portugal",6.5
"Mexico",4.4
"Colombia",4
"Greece",3.5
