"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 1990"
"Category","Total"
"Hungary",43.9
"Slovenia",31
"Finland",30.6
"Estonia",30.3
"Lithuania",29.3
"Latvia",28.4
"Denmark",25
"Austria",24.7
"Switzerland",22.4
"Czechia",22.3
"France",21.5
"Belgium",19.8
"Luxembourg",18.4
"Japan",18.2
"Germany",17.7
"Sweden",17.4
"Iceland",16.3
"Norway",16
"Poland",14.5
"New Zealand",14.1
"Australia",13.6
"United States",13.3
"Canada",12.9
"Ireland",11.1
"Netherlands",10.3
"Portugal",9.7
"Israel",9.1
"Korea",9
"Spain",8.4
"United Kingdom",8.3
"Italy",7.9
"Costa Rica",7.6
"Chile",7.2
"Mexico",3.6
"Greece",3.6
"Colombia",3.2
