"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2017"
"Category","Total"
"Lithuania",25
"Korea",23.8
"Slovenia",18.1
"Latvia",17.3
"Estonia",16.5
"Hungary",15.7
"Japan",15.2
"Belgium",14.8
"Finland",14.8
"United States",14.7
"Australia",13.6
"Austria",12.8
"Czechia",12.8
"France",12.2
"Sweden",11.7
"Switzerland",11.6
"Poland",11.3
"Canada",11.2
"Netherlands",10.8
"Chile",10.6
"Germany",9.9
"Denmark",9.8
"Iceland",9.8
"Portugal",9.1
"Luxembourg",8.7
"Ireland",8.3
"Spain",7.2
"United Kingdom",7.1
"Slovak Rep.",6.7
"Colombia",5.9
"Italy",5.8
"Costa Rica",5.8
"Israel",5.6
"Mexico",5.5
"Greece",4.5
"Türkiye",3.7
