"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 1991"
"Category","Total"
"Hungary",42.1
"Slovenia",35.5
"Lithuania",33.9
"Latvia",30.7
"Finland",30.2
"Estonia",30.2
"Austria",23.6
"Switzerland",23.2
"Denmark",23.2
"France",21.4
"Czechia",20.8
"Luxembourg",20.5
"Belgium",18.6
"Germany",17.7
"Japan",17.6
"Sweden",17.5
"Norway",16.5
"Poland",15.5
"Iceland",15.4
"Australia",13.9
"New Zealand",13.8
"Canada",13.4
"United States",13.1
"Netherlands",11.3
"Ireland",11
"Portugal",10.5
"Israel",10.3
"Korea",8.6
"Spain",8.1
"United Kingdom",8.1
"Italy",8
"Chile",7.3
"Costa Rica",6.6
"Greece",3.9
"Mexico",3.6
"Colombia",3.4
