"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 1998"
"Category","Total"
"Lithuania",47.3
"Estonia",36
"Latvia",35.6
"Hungary",33.1
"Slovenia",31.7
"Japan",24.7
"Finland",23.9
"Korea",22.7
"Austria",20.1
"Belgium",20
"Switzerland",19.6
"France",18.6
"Czechia",16.4
"New Zealand",15.5
"Luxembourg",15.2
"Denmark",14.6
"Australia",14.2
"Germany",14.1
"Sweden",14
"Ireland",13.7
"Slovak Rep.",13.4
"Norway",12.7
"Canada",12.3
"United States",11.9
"Iceland",11.5
"Netherlands",9.9
"Chile",8.3
"Spain",8.3
"Italy",7.6
"United Kingdom",7.5
"Costa Rica",7.4
"Israel",6.8
"Colombia",6.7
"Portugal",5.7
"Mexico",4.3
"Greece",3.8
