"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2001"
"Category","Total"
"Lithuania",46.7
"Latvia",30.9
"Hungary",30.1
"Estonia",29.8
"Slovenia",29.6
"Finland",23.1
"Japan",22.2
"Belgium",21
"Korea",18.9
"Austria",18.6
"Switzerland",18.6
"France",18
"Luxembourg",17.4
"Czechia",16.1
"Poland",15.7
"Slovak Rep.",13.9
"Denmark",13.8
"New Zealand",13.5
"Sweden",13.4
"Germany",13.2
"Ireland",12.9
"Australia",12.9
"Iceland",12.8
"Norway",12.6
"Canada",11.8
"Chile",11.8
"United States",11.3
"Netherlands",9.3
"Spain",7.7
"Israel",7.5
"Portugal",7.4
"United Kingdom",7.1
"Costa Rica",7
"Colombia",6.8
"Italy",6.7
"Mexico",4.7
"Greece",3
