"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 1995"
"Category","Total"
"Lithuania",51.1
"Estonia",43.7
"Latvia",43.1
"Hungary",35
"Slovenia",29.9
"Finland",27.3
"Austria",23.1
"Belgium",21.6
"France",21
"Switzerland",20.7
"Czechia",18.2
"Denmark",18.1
"Japan",17.5
"Germany",15.8
"Luxembourg",15.6
"Slovak Rep.",15.5
"Poland",15.5
"Sweden",15.5
"New Zealand",15.2
"Canada",13.5
"Norway",12.9
"Korea",12.7
"United States",12.6
"Australia",12.3
"Ireland",11.9
"Iceland",11
"Netherlands",10
"Israel",8.7
"Portugal",8.6
"Spain",8.3
"Chile",8.1
"Italy",8
"United Kingdom",7.5
"Costa Rica",7.4
"Mexico",4.4
"Colombia",4
"Greece",3.6
