"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 1992"
"Category","Total"
"Hungary",41.8
"Lithuania",38.9
"Latvia",37.6
"Estonia",35.3
"Slovenia",32.1
"Finland",28.9
"Austria",23.4
"Denmark",22.8
"Czechia",21.4
"France",21.4
"Switzerland",21.2
"Belgium",19.2
"Japan",18.1
"Slovak Rep.",17.2
"Germany",16.8
"Poland",16.5
"Sweden",15.9
"Luxembourg",15.6
"Norway",14.7
"New Zealand",14.6
"Australia",13.5
"Canada",13.3
"United States",12.8
"Iceland",11.6
"Ireland",11.4
"Netherlands",11
"Israel",9.9
"Korea",9.7
"Portugal",9.6
"United Kingdom",8.2
"Italy",8.1
"Spain",7.7
"Costa Rica",7.1
"Chile",6
"Colombia",4.1
"Mexico",3.8
"Greece",3.6
