"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2009"
"Category","Total"
"Korea",35.3
"Lithuania",35.1
"Hungary",24.1
"Latvia",23.6
"Japan",22.8
"Slovenia",20.8
"Estonia",19.8
"Finland",19.1
"Belgium",18.3
"Poland",16.7
"France",16.7
"Austria",14.6
"Switzerland",13.8
"Czechia",13.6
"Chile",13.5
"Sweden",13.2
"United States",12.4
"Norway",12.1
"Iceland",12
"New Zealand",12
"Ireland",11.8
"Canada",11.3
"Denmark",11.2
"Slovak Rep.",11.1
"Australia",10.8
"Germany",10.7
"Luxembourg",9.6
"Portugal",9.2
"Netherlands",9.1
"Spain",7.2
"United Kingdom",6.9
"Costa Rica",6.8
"Israel",6.3
"Italy",6.1
"Colombia",5.6
"Mexico",5.1
"Greece",3.3
"Türkiye",2.1
