"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2008"
"Category","Total"
"Lithuania",34.3
"Korea",30.3
"Hungary",24.3
"Latvia",23.7
"Japan",22.3
"Finland",19.3
"Slovenia",19.2
"Belgium",18.3
"Estonia",17.7
"Switzerland",16.7
"France",16.5
"Poland",14.7
"Austria",14.6
"Chile",13.2
"Czechia",13
"Iceland",12.8
"Sweden",12.5
"New Zealand",12.4
"United States",12.3
"Ireland",11.5
"Australia",11.1
"Slovak Rep.",11
"Denmark",11
"Canada",10.9
"Norway",10.7
"Germany",10.6
"Portugal",9.4
"Luxembourg",8.7
"Netherlands",8.6
"Spain",7.3
"United Kingdom",7
"Costa Rica",6.6
"Italy",6
"Israel",5.8
"Colombia",5.6
"Mexico",4.8
"Greece",3.1
