"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2016"
"Category","Total"
"Lithuania",27.3
"Korea",25.5
"Latvia",17.7
"Hungary",16.9
"Slovenia",16.8
"Belgium",16.3
"Japan",15.6
"United States",14.2
"Finland",14.1
"Estonia",13.3
"Austria",12.7
"France",12.3
"Iceland",12.2
"Australia",12.2
"New Zealand",12.1
"Czechia",12
"Poland",11.9
"Norway",11.8
"Switzerland",11.5
"Sweden",11.3
"Canada",10.8
"Netherlands",10.8
"Germany",10.6
"Chile",10.6
"Denmark",9.9
"Ireland",9.4
"Portugal",8.4
"Luxembourg",7.5
"United Kingdom",7.4
"Costa Rica",7.2
"Spain",7.1
"Slovak Rep.",6.9
"Italy",5.7
"Israel",5.6
"Colombia",5.5
"Mexico",5.4
"Greece",4.1
"Türkiye",2.6
