"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2005"
"Category","Total"
"Lithuania",40.3
"Korea",31.6
"Hungary",26.1
"Latvia",25.1
"Slovenia",24.4
"Japan",22.7
"Estonia",20.1
"Belgium",19.1
"Finland",18.6
"France",17.7
"Switzerland",17.2
"Austria",16.8
"Poland",15.8
"Czechia",15.2
"Sweden",13.4
"Slovak Rep.",12.9
"New Zealand",12.7
"Germany",11.8
"Denmark",11.8
"Norway",11.7
"Iceland",11.6
"United States",11.4
"Chile",11.4
"Canada",11.3
"Ireland",10.9
"Luxembourg",10.7
"Netherlands",9.6
"Costa Rica",7.6
"Spain",7.6
"Israel",7.5
"United Kingdom",6.7
"Italy",6
"Colombia",5.6
"Mexico",4.8
"Greece",3.5
