"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2011"
"Category","Total"
"Korea",34.7
"Lithuania",32.9
"Hungary",23.6
"Japan",21.4
"Latvia",20.5
"Slovenia",20.1
"Belgium",18.6
"Finland",16.6
"France",16.2
"Estonia",15.7
"Poland",15.6
"Czechia",14.7
"Austria",14.6
"United States",13
"Switzerland",12.5
"Chile",12.4
"Norway",12.2
"Ireland",12.2
"Sweden",11.6
"Germany",11.2
"New Zealand",11.2
"Australia",10.9
"Luxembourg",10.7
"Canada",10.6
"Denmark",10.5
"Netherlands",9.7
"Portugal",8.9
"Iceland",8.9
"Costa Rica",7.4
"United Kingdom",7
"Spain",6.5
"Italy",6.4
"Israel",6.4
"Mexico",5.3
"Colombia",4.9
"Greece",4
"Türkiye",1.8
